x y R1 R2 R3 R1x R1y R1z R2x R2y R2z R3x R3y R3z
0 65 507092.770730 402948.091539 515228.409251 8.73692e-011 498913 90711.5 -373684 -148326 -26968.3 373684 -350588 53936.6
0 66 500863.394737 394654.785292 509478.789615 -1.59729e-008 492490 91201.8 -366889 -142981 -26478 366889 -349509 52955.9
0 67 494543.100259 386412.439907 503623.764187 -1.21776e-007 485969 91692.2 -360095 -137734 -25987.6 360095 -348234 51975.2
0 68 488132.286172 378220.306022 497661.119956 -2.74919e-009 479349 92182.5 -353301 -132586 -25497.3 353301 -346763 50994.6
0 69 481631.381304 370077.625243 491588.701580 -7.09314e-009 472631 92672.8 -346507 -127535 -25007 346507 -345096 50013.9
0 70 475040.847273 361983.630159 485404.410101 1.64962e-008 465816 93163.2 -339712 -122583 -24516.6 339712 -343233 49033.3
0 71 468361.181644 353937.544375 479106.201663 8.18915e-009 458902 93653.5 -332918 -117729 -24026.3 332918 -341173 48052.6
0 72 461592.921461 345938.582541 472692.086243 -1.3932e-008 451890 94143.8 -326124 -112973 -23536 326124 -338918 47071.9
0 73 454736.647197 337985.950391 466160.126374 -8.16092e-009 444781 94634.2 -319330 -108314 -23045.6 319330 -336466 46091.3
0 74 447792.987177 330078.844787 459508.435892 -6.23951e-009 437573 95124.5 -312535 -103754 -22555.3 312535 -333818 45110.6
0 75 440762.622554 322216.453769 452735.178690 -4.2026e-009 430267 95614.8 -305741 -99292.3 -22065 305741 -330974 44129.9
0 76 433646.292901 314397.956610 445838.567479 3.47188e-009 422863 96105.2 -298947 -94928.4 -21574.6 298947 -327934 43149.3
0 77 426444.802527 306622.523879 438816.862573 6.9384e-009 415361 96595.5 -292153 -90662.5 -21084.3 292153 -324698 42168.6
0 78 419159.027609 298889.317509 431668.370689 -6.93748e-010 407761 97085.8 -285358 -86494.7 -20594 285358 -321266 41187.9
0 79 411789.924286 291197.490869 424391.443752 4.41476e-009 400062 97576.2 -278564 -82424.9 -20103.6 278564 -317637 40207.3
0 80 404338.537835 283546.188848 416984.477738 -1.06688e-008 392266 98066.5 -271770 -78453.2 -19613.3 271770 -313813 39226.6
0 81 396806.013132 275934.547937 409445.911520 4.59231e-009 384372 98556.8 -264976 -74579.6 -19123 264976 -309792 38245.9
0 82 389193.606591 268361.696328 401774.225743 -7.34384e-008 376379 99047.2 -258181 -70804 -18632.6 258181 -305575 37265.3
0 83 381502.699822 260826.754009 393967.941715 -3.43702e-008 368289 99537.5 -251387 -67126.5 -18142.3 251387 -301162 36284.6
0 84 373734.815306 253328.832871 386025.620321 7.68038e-009 360100 100028 -244593 -63547.1 -17652 244593 -296553 35303.9
0 85 365891.634434 245867.036821 377945.860958 2.7421e-009 351814 100518 -237799 -60065.7 -17161.6 237799 -291748 34323.3
0 86 357975.018319 238440.461902 369727.300497 -1.07086e-008 343429 101008 -231004 -56682.4 -16671.3 231004 -286746 33342.6
0 87 349987.031886 231048.196417 361368.612255 -6.65656e-009 334946 101499 -224210 -53397.2 -16181 224210 -281549 32361.9
0 88 341929.971828 223689.321061 352868.505002 1.76731e-009 326365 101989 -217416 -50210 -15690.6 217416 -276155 31381.3
0 89 333806.399166 216362.909061 344225.721986 6.89717e-009 317686 102479 -210622 -47121 -15200.3 210622 -270565 30400.6
0 90 325619.177269 209068.026319 335439.039976 -2.08494e-009 308909 102970 -203827 -44129.9 -14710 203827 -264780 29419.9
0 91 317371.516408 201803.731566 326507.268336 -1.20247e-007 300034 103460 -197033 -41237 -14219.6 197033 -258797 28439.3
0 92 309067.026131 194569.076515 317429.248111 5.7904e-009 291061 103950 -190239 -38442.1 -13729.3 190239 -252619 27458.6
0 93 300709.777033 187363.106031 308203.851147 5.70514e-010 281990 104441 -183445 -35745.2 -13239 183445 -246245 26478
0 94 292304.373843 180184.858297 298829.979224 -2.4948e-009 272821 104931 -176650 -33146.5 -12748.6 176650 -239675 25497.3
0 95 283856.042200 173033.364992 289306.563214 4.04983e-009 263554 105421 -169856 -30645.8 -12258.3 169856 -232908 24516.6
0 96 275370.732000 165907.651475 279632.562260 -5.25064e-010 254188 105912 -163062 -28243.2 -11768 163062 -225945 23536
0 97 266855.240863 158806.736970 269806.962980 1.40917e-008 244725 106402 -156268 -25938.6 -11277.6 156268 -218786 22555.3
0 98 258317.362097 151729.634764 259828.778687 -2.28133e-009 235163 106892 -149473 -23732.1 -10787.3 149473 -211431 21574.6
0 99 249766.062474 144675.352404 249697.048629 1.39447e-008 225504 107383 -142679 -21623.7 -10297 142679 -203880 20594
